camera_traseira;velocidade_do_processador;url;chips;resolucao;tamanho_da_tela;modelo;memoria_ram;linha;preco;camera_frontal;marca;memoria_interna
20.7 megapixels;2.3;http://www.buscape.com.br/detalhes--smartphone-sony-xperia-z2-d6543.html;;1920 x 1080;5.2;z2 d6543;;xperia;;;sony;
3.15 megapixels;;http://www.buscape.com.br/detalhes--smartphone-nokia-asha-501.html;dual;240 x 320;3.0;501;;asha;;;nokia;
5.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-lg-optimus-l5-e612.html;single;320 x 480;4.0;l5 e612;;optimus;;;lg;4.0
8.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-lg-g2-lite-d295.html;;800 x 480;4.5;d295;;g2 lite;;vga;lg;4.0
13.0 megapixels;1.5;http://www.buscape.com.br/detalhes--smartphone-sony-xperia-m4-aqua-e2363.html;dual;1280 x 720;5.0;m4 aqua e2363;2.0;xperia;;;sony;16.0
12.1 megapixels;1.5;http://www.buscape.com.br/detalhes--smartphone-sony-xperia-s.html;;1280 x 720;4.3;s;;xperia;;1.3 megapixels frontal;sony;1.0
5.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-sony-xperia-u.html;single;854 x 480;3.5;u;;xperia;;0.3 megapixels frontal;sony;8.0
8.0 megapixels;1.3;http://www.buscape.com.br/detalhes--smartphone-apple-iphone-5c-16gb.html;single;1136 x 640;4.0;5c 16gb;;iphone;2218.0;1.2 megapixels frontal;apple;16.0
1.0 megapixels;;http://www.buscape.com.br/detalhes--celular-nokia-6111.html;single;128 x 160;1.8;6111;;;;;nokia;
3.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-sony-xperia-e1-d2114.html;dual;800 x 480;4.0;e1 d2114;;xperia;;;sony;4.0
3.15 megapixels;;http://www.buscape.com.br/detalhes--smartphone-lg-optimus-l3-dual-e405.html;dual;240 x 320;3.2;l3  dual e405;;optimus;;;lg;1.0
20.7 megapixels;;http://www.buscape.com.br/detalhes--smartphone-sony-xperia-z3-d6633.html;dual;1080 x 1920;5.2;z3 d6633;;xperia;2896.0;2.2 megapixels frontal;sony;16.0
5.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-ace-plus-gt-s7500.html;single;480 x 320;3.7;plus gt-s7500;;galaxy ace;733.0;;samsung;3.0
8.0 megapixels;1.5;http://www.buscape.com.br/detalhes--smartphone-nokia-lumia-820.html;single;480 x 800;4.3;820;;lumia;;vga;nokia;8.0
3.2 megapixels;;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-tv-gt-s5367.html;single;240 x 320;3.14;tv gt-s5367;;galaxy;;;samsung;
5.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-s-duos-2-gt-s7582.html;dual;480 x 800;4.0;s duos 2 gt-s7582;;galaxy;691.0;;samsung;4.0
8.0 megapixels;1.3;http://www.buscape.com.br/detalhes--smartphone-apple-iphone-5s-32gb.html;single;1136 x 640;4.0;5s 32gb;1.0;iphone;3360.0;1.2 megapixels frontal;apple;32.0
13.0 megapixels;1.9;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-s4-gt-i9515.html;;1080 x 1920;5.0;s4 gt-i9515;;galaxy;;2.0 megapixels frontal;samsung;
3.2 megapixels;;http://www.buscape.com.br/detalhes--smartphone-lg-optimus-one-p500.html;single;320 x 480;3.2;one p500;;optimus;;;lg;
8.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-gran-prime-sm-g530.html;dual;540 x 960;5.0;sm-g530;1.0;galaxy gran prime;;5.0 megapixels frontal;samsung;8.0
8.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-motorola-moto-g-xt1078-16-gb.html;dual;720 x 1280;5.0;xt1078 16 gb;;moto g;;2.0 megapixels frontal;motorola;16.0
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-lg-chocolight-mg280.html;single;128 x 160;1.8;mg280;;chocolight;;;lg;
13.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-lg-g3-stylus-d690.html;;960 x 540;5.5;stylus d690;;g3;;1.3 megapixels frontal;lg;8.0
8.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-motorola-atrix-tv-xt687.html;dual;480 x 854;4.0;tv xt687;;atrix;;0.3 megapixels frontal;motorola;
8.0 megapixels;2.3;http://www.buscape.com.br/detalhes--smartphone-lg-nexus-5-16gb.html;single;1080 x 1920;4.95;nexus 5 16gb;;;;1.3 megapixels frontal;lg;16.0
16.0 megapixels;1.8;http://www.buscape.com.br/detalhes--smartphone-lg-g4-h815p.html;single;2560 x 1440;5.5;h815p;;g4;;8.0 megapixels frontal;lg;32.0
1.3 megapixels;;http://www.buscape.com.br/detalhes--celular-sony-ericsson-w380i.html;single;176 x 220;1.9;w380i;;;;;sony ericsson;
5.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-nexus-gt-i9250.html;;;4.65;nexus gt-i9250;;galaxy;;1.3 megapixels frontal;samsung;16.0
8.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-s-iii-neo-i9300i.html;single;720 x 1280;4.8;s iii neo i9300i;;galaxy;;1.9 megapixels frontal;samsung;16.0
5.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-motorola-defy-mb525.html;single;480 x 854;3.7;mb525;;defy;;;motorola;2.0
13.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-lg-optimus-g-e977.html;single;1280 x 768;4.7;g e977;;optimus;949.0;1.3 megapixels frontal;lg;32.0
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-nokia-asha-202.html;dual;320 x 240;2.4;202;;asha;;;nokia;
16.0 megapixels;1.8;http://www.buscape.com.br/detalhes--smartphone-lg-g4-h818p.html;dual;2560 x 1440;5.5;h818p;;g4;1999.0;8.0 megapixels frontal;lg;32.0
1.3 megapixels;;http://www.buscape.com.br/detalhes--celular-samsung-ch-t-322-c3222.html;dual;176 x 220;2.2;c3222;;ch@t 322;;;samsung;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-lg-gt350-cookie-messenger.html;single;240 x 400;3.0;gt350 cookie messenger;;;;;lg;
8.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-sony-xperia-p.html;;960 x 540;4.0;p;;xperia;;0.3 megapixels frontal;sony;16.0
13.0 megapixels;1.5;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-a7-sm-a700.html;;1920 x 1080;5.5;a7 sm-a700;;galaxy;;5.0 megapixels frontal;samsung;
5.1 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-sony-ericsson-xperia-play.html;single;480 x 854;4.0;play;;xperia;;vga;sony ericsson;
3.15 megapixels;;http://www.buscape.com.br/detalhes--celular-motorola-ex119.html;dual;320 x 240;2.4;ex119;;;;;motorola;
13.0 megapixels;1.4;http://www.buscape.com.br/detalhes--smartphone-motorola-moto-g-3-geracao-xt1543-8gb.html;dual;1280 x 720;5.0;3ª geração xt1543 8gb;1.0;moto g;1099.0;5.0 megapixels frontal;motorola;8.0
8.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-lg-optimus-l7-ii-dual-p716.html;dual;800 x 480;4.3;l7 ii dual p716;;optimus;;;lg;4.0
8.7 megapixels;1.5;http://www.buscape.com.br/detalhes--smartphone-nokia-lumia-925.html;single;768 x 1280;4.5;925;;lumia;599.0;1.3 megapixels frontal;nokia;16.0
3.2 megapixels;;http://www.buscape.com.br/detalhes--nokia-5530.html;single;360 x 640;2.9;5530;;;;;nokia;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-samsung-corby-gt-s3650.html;single;240 x 320;2.8;gt-s3650;;corby;;;samsung;
13.0 megapixels;1.4;http://www.buscape.com.br/detalhes--smartphone-sony-xperia-t2-ultra-dual-d5322.html;dual;1280 x 720;6.0;t2 ultra dual d5322;;xperia;;;sony;8.0
5.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-nokia-500.html;single;360 x 640;3.2;500;;;;;nokia;2.0
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-motorola-motokrzr-k1.html;single;176 x 220;2.0;motokrzr k1;;;;;motorola;
3.2 megapixels;;http://www.buscape.com.br/detalhes--smartphone-motorola-spice-xt300.html;single;240 x 320;3.0;spice xt300;;;;;motorola;
3.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-motorola-fire-xt317.html;dual;240 x 320;2.8;fire xt317;;;;;motorola;
8.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-apple-iphone-6-64gb.html;single;1334 x 750;4.7;6 64gb;1.0;iphone;3039.0;1.2 megapixels frontal;apple;64.0
;;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-551-gt-i5510.html;;;;551 gt-i5510;;galaxy;;;samsung;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-nokia-c2-06.html;dual;240 x 320;2.6;c2-06;;;;;nokia;
10.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-nokia-lumia-830.html;;1280 x 720;5.0;830;;lumia;;0.9 megapixels frontal;nokia;16.0
5.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-fame-duos-gt-s6812.html;dual;320 x 480;3.5;duos gt-s6812;;galaxy fame;;0.3 megapixels frontal;samsung;4.0
8.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-e5-sm-e500m.html;dual;1280 x 720;5.0;e5 sm-e500m;;galaxy;;5.0 megapixels frontal;samsung;16.0
8.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-a3-sm-a300m.html;dual;540 x 960;4.5;a3 sm-a300m;;galaxy;1067.0;5.0 megapixels frontal;samsung;
13.0 megapixels;1.6;http://www.buscape.com.br/detalhes--smartphone-asus-zenfone-6-16gb.html;dual;1280 x 720;6.0;6 16gb;;zenfone;;2.0 megapixels frontal;asus;16.0
5.0 megapixels;1.3;http://www.buscape.com.br/detalhes--smartphone-lg-leon-h326tv.html;;854 x 480;4.5;leon h326tv;;;;1.3 megapixels frontal;lg;8.0
;;http://www.buscape.com.br/detalhes--celular-lg-a275.html;dual;128 x 128;1.45;a275;;;;;lg;
2.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-blackberry-curve-8520.html;single;320 x 240;;8520;;curve;;;blackberry;
3.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-lg-optimus-l4-ii-e470.html;tri;320 x 480;3.8;l4 ii e470;;optimus;;;lg;4.0
5.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-sony-ericsson-xperia-x10-mini-pro.html;single;240 x 320;2.55;x10 mini pro;;xperia;;;sony ericsson;
5.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-lg-optimus-black-p970.html;;800 x 480;4.0;black p970;;optimus;;2.0 megapixels frontal;lg;1.0
16.0 megapixels;1.6;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-s5-new-edition-sm-g903m.html;dual;1920 x 1080;5.1;s5 new edition sm-g903m;2.0;galaxy;;5.0 megapixels frontal;samsung;16.0
8.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-motorola-milestone-3.html;single;540 x 960;4.0;3;;milestone;;0.3 megapixels frontal;motorola;16.0
8.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-lg-volt-h422tv.html;;1280 x 720;4.7;volt h422tv;;;;1.3 megapixels frontal;lg;8.0
5.0 megapixels;1.3;http://www.buscape.com.br/detalhes--smartphone-sony-xperia-e4.html;dual;960 x 540;5.0;e4;;xperia;;2.0 megapixels frontal;sony;8.0
5.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-microsoft-lumia-435-dtv.html;dual;800 x 480;4.0;435 dtv;;lumia;319.0;vga;microsoft;8.0
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-sony-ericsson-w200i.html;single;128 x 160;;w200i;;;;;sony ericsson;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-lg-messenger-gt360.html;single;240 x 320;2.4;messenger gt360;;;;;lg;
5.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-nokia-e5.html;single;320 x 240;2.36;e5;;;;;nokia;
1.3 megapixels;;http://www.buscape.com.br/detalhes--celular-lg-a290.html;tri;176 x 220;2.2;a290;;;1299.0;;lg;
20 megapixels;2.2;http://www.buscape.com.br/detalhes--smartphone-nokia-lumia-930.html;;1080 x 1920;5.0;930;;lumia;;1.2 megapixels frontal;nokia;32.0
1.3 megapixels;;http://www.buscape.com.br/detalhes--celular-sony-ericsson-w205.html;single;128 x 160;1.8;w205;;;;;sony ericsson;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-nokia-asha-200.html;dual;;2.4;200;;asha;;;nokia;
0.3 megapixels;;http://www.buscape.com.br/detalhes--nokia-x2-01.html;single;320 x 240;2.4;x2-01;;;;;nokia;
3.2 megapixels;;http://www.buscape.com.br/detalhes--celular-lg-scarlet-ii-gm600.html;single;240 x 400;3.0;scarlet ii gm600;;;;;lg;
2.0 megapixels;;http://www.buscape.com.br/detalhes--nokia-5233.html;single;360 x 640;3.2;5233;;;;;nokia;
5.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-apple-iphone-4-32gb.html;single;960 x 640;3.5;4 32gb;;iphone;;;apple;32.0
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-lg-shine-me970.html;single;240 x 320;2.2;shine me970;;;;;lg;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-lg-shine-me970.html;single;240 x 320;2.2;shine me970;;;;;lg;
5.0 megapixels;;http://www.buscape.com.br/detalhes--celular-nokia-n95-8gb.html;single;240 x 320;2.8;n95 8gb;;;;;nokia;8.0
;;http://www.buscape.com.br/detalhes--celular-samsung-gt-e1182.html;dual;128 x 128;1.52;gt-e1182;;;;;samsung;
3.15 megapixels;;http://www.buscape.com.br/detalhes--smartphone-motorola-defy-mini-xt321.html;dual;320 x 480;3.2;mini xt321;;defy;;0.3 megapixels frontal;motorola;
3.2 megapixels;;http://www.buscape.com.br/detalhes--celular-samsung-gt-b5722.html;dual;240 x 320;2.8;gt-b5722;;;;;samsung;
5.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-motorola-defy-mb526.html;single;480 x 854;3.7;mb526;;defy+;;;motorola;2.0
13.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-e7-sm-e700m.html;dual;1280 x 720;5.5;e7 sm-e700m;;galaxy;;5.0 megapixels frontal;samsung;16.0
41 megapixels;1.5;http://www.buscape.com.br/detalhes--smartphone-nokia-lumia-1020.html;single;1280 x 768;4.5;1020;;lumia;1839.0;1.2 megapixels frontal;nokia;32.0
5.0 megapixels;1.4;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-w-gt-i8150.html;single;480 x 800;3.7;gt-i8150;;galaxy w;;1.3 megapixels frontal;samsung;2.0
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-nokia-6101.html;single;128 x 160;;6101;;;;;nokia;
8.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-sony-xperia-m2-aqua-d2403.html;single;540 x 960;4.8;m2 aqua d2403;;xperia;854.0;1.1 megapixels frontal;sony;8.0
3.2 megapixels;1.0;http://www.buscape.com.br/detalhes--nokia-asha-311.html;;400 x 240;3.0;311;;asha;;;nokia;
5.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-sony-ericsson-xperia-x10-mini.html;single;240 x 320;2.55;x10 mini;;xperia;;;sony ericsson;
5.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-sony-xperia-m.html;single;480 x 854;4.0;m;;xperia;;0.3 megapixels frontal;sony;4.0
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-motorola-ex109.html;dual;176 x 144;2.0;ex109;;;;;motorola;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-sony-ericsson-w580i.html;single;240 x 320;2.0;w580i;;;;;sony ericsson;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-nokia-5310.html;single;240 x 320;2.0;5310;;;;;nokia;
8.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-apple-iphone-6-plus-16gb.html;single;1920 x 1080;5.5;6 plus 16gb;1.0;iphone;3287.0;1.2 megapixels frontal;apple;16.0
5.0 megapixels;1.4;http://www.buscape.com.br/detalhes--smartphone-samsung-omnia-w-sgh-i677.html;;480 x 800;3.7;w sgh-i677;;omnia;;1.3 megapixels frontal;samsung;8.0
2.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-motorola-rokr-u9.html;single;240 x 320;2.0;u9;;rokr;;;motorola;
;;http://www.buscape.com.br/detalhes--celular-zte-s213.html;dual;128 x 128;1.5;s213;;;;;zte;
3.2 megapixels;;http://www.buscape.com.br/detalhes--celular-samsung-star-3-duos-gt-s5222.html;dual;240 x 320;3.0;3 duos gt-s5222;;star;;;samsung;
;;http://www.buscape.com.br/detalhes--celular-nokia-1661.html;single;;;1661;;;;;nokia;
5.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-motorola-moto-e-2-geracao-xt1506.html;dual;540 x 960;4.5;2ª geração xt1506;;moto e;1424.0;vga;motorola;8.0
5.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-nokia-lumia-625.html;single;800 x 480;4.7;625;;lumia;;vga;nokia;8.0
5.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-motorola-milestone-a853.html;single;480 x 854;3.7;a853;;milestone;;;motorola;
5.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-beam-gt-i8530.html;single;480 x 800;3.7;gt-i8530;;galaxy beam;;;samsung;8.0
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-samsung-gt-e2152.html;dual;128 x 160;2.0;gt-e2152;;;;;samsung;
8.0 megapixels;1.3;http://www.buscape.com.br/detalhes--smartphone-lg-prime-plus-h502tv.html;;1280 x 720;5.0;h502tv;;prime plus;;5.0 megapixels frontal;lg;8.0
3.0 megapixels;;http://www.buscape.com.br/detalhes--celular-motorola-ex128.html;;240 x 400;3.2;ex128;;;;;motorola;
5.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-motorola-moto-g-xt1032-8-gb.html;single;1280 x 720;4.5;xt1032 8 gb;;moto g;793.0;1.3 megapixels frontal;motorola;8.0
8.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-lg-g2-mini-d618.html;dual;960 x 540;4.7;mini d618;;g2;;1.3 megapixels frontal;lg;8.0
8.0 megapixels;1.7;http://www.buscape.com.br/detalhes--smartphone-sony-xperia-sp.html;single;720 x 1280;4.6;sp;;xperia;;vga;sony;8.0
1.3 megapixels;;http://www.buscape.com.br/detalhes--celular-samsung-sgh-f250.html;single;128 x 160;2.0;sgh-f250;;;;;samsung;
16.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-note-4-sm-n910c.html;single;2560 x 1440;5.7;4 sm-n910c;;galaxy note;;3.7 megapixels frontal;samsung;
5.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-motorola-moto-e-2-geracao-dtv-colors-xt1523.html;dual;540 x 960;4.5;2ª geração dtv colors xt1523;;moto e;;vga;motorola;16.0
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-sony-ericsson-f305.html;single;176 x 220;2.0;f305;;;;;sony ericsson;
8.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-apple-iphone-4s-32gb.html;single;960 x 640;3.5;4s 32gb;;iphone;;0.3 megapixels frontal;apple;32.0
5.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-sony-ericsson-live.html;single;320 x 480;3.2;live;;;;1.3 megapixels frontal;sony ericsson;
5.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-lg-optimus-l9-p768.html;single;540 x 960;4.7;l9 p768;;optimus;1135.0;;lg;4.0
2.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-nokia-asha-500.html;dual;320 x 240;2.8;500;;asha;;;nokia;
5.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-motorola-atrix.html;single;540 x 960;4.0;;;atrix;;0.3 megapixels frontal;motorola;16.0
3.2 megapixels;;http://www.buscape.com.br/detalhes--celular-samsung-star-tv-gt-i6220.html;single;240 x 400;3.0;tv gt-i6220;;star;;;samsung;
3.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-lg-optimus-me-p350.html;single;240 x 320;2.8;me p350;;optimus;508.0;;lg;
3.2 megapixels;;http://www.buscape.com.br/detalhes--smartphone-nokia-5800.html;single;360 x 640;3.2;5800;;;;0.3 megapixels frontal;nokia;
5.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-sony-xperia-e3-d2212.html;dual;480 x 854;4.5;e3 d2212;;xperia;;vga;sony;4.0
3.2 megapixels;;http://www.buscape.com.br/detalhes--smartphone-samsung-wave-533-gt-s5330.html;single;240 x 400;3.2;533 gt-s5330;;wave;664.0;;samsung;
5.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-s-iii-duos-gt-i8262b.html;dual;480 x 800;4.3;s iii duos gt-i8262b;;galaxy;;vga;samsung;
2.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-nokia-e63.html;single;320 x 240;2.36;e63;;;;;nokia;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-sony-ericsson-k550i.html;single;176 x 220;;k550i;;;;;sony ericsson;
13.0 megapixels;1.4;http://www.buscape.com.br/detalhes--smartphone-motorola-moto-g-3-geracao-music-xt1543-16gb.html;dual;1280 x 720;5.0;3ª geração music xt1543 16gb;1.0;moto g;1014.0;5.0 megapixels frontal;motorola;16.0
2.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-samsung-ch-t-335-gt-s3350.html;;320 x 240;2.4;gt-s3350;;ch@t 335;;;samsung;
;;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-pro-duos-gt-b5512.html;;;;pro duos gt-b5512;;galaxy;;;samsung;
2.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-motorola-a1200.html;single;240 x 320;2.4;a1200;;;;;motorola;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-sony-ericsson-w395.html;single;176 x 220;2.0;w395;;;;;sony ericsson;
2.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-pocket-neo-gt-s5312.html;dual;240 x 320;3.0;neo gt-s5312;;galaxy pocket;;;samsung;4.0
3.2 megapixels;;http://www.buscape.com.br/detalhes--smartphone-sony-ericsson-xperia-x8.html;single;320 x 480;3.0;x8;;xperia;;;sony ericsson;
8.0 megapixels;1.5;http://www.buscape.com.br/detalhes--smartphone-lg-nexus-4-e960-8gb.html;single;1280 x 768;4.7;nexus 4 e960 8gb;;;;1.3 megapixels frontal;lg;8.0
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-samsung-ch-t-350-gt-c3500.html;single;240 x 320;2.4;ch@t 350 gt-c3500;;;;;samsung;
8.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-lg-l80-d385.html;dual;800 x 480;5.0;l80 d385;;;;vga;lg;8.0
8.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-motorola-razr-maxx.html;;540 x 960;4.3;maxx;;razr;;1.3 megapixels frontal;motorola;16.0
20.7 megapixels;2.5;http://www.buscape.com.br/detalhes--smartphone-sony-xperia-z3-d6643.html;;1920 x 1080;5.2;z3 d6643;;xperia;;2.2 megapixels frontal;sony;16.0
13.0 megapixels;1.7;http://www.buscape.com.br/detalhes--smartphone-sony-xperia-c4-e5343.html;dual;1920 x 1080;5.5;c4 e5343;;xperia;;5.0 megapixels frontal;sony;16.0
3.15 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-trend-lite-gt-s7392.html;dual;480 x 800;4.0;lite gt-s7392;;galaxy trend;;;samsung;4.0
8.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-cce-motion-plus-sk504.html;single;960 x 540;5.0;sk504;;motion plus;;2.0 megapixels frontal;cce;4.0
3.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-cce-motion-plus-sk402.html;single;800 x 460;4.0;sk402;;motion plus;;vga;cce;
8.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-apple-iphone-4s-64gb.html;;960 x 640;3.5;4s 64gb;;iphone;;0.3 megapixels frontal;apple;64.0
3.0 megapixels;;http://www.buscape.com.br/detalhes--celular-lg-scarlet-kb775f.html;single;240 x 400;3.0;scarlet kb775f;;;;;lg;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-lg-gs290-cookie-plus.html;single;240 x 400;3.0;gs290 cookie plus;;;;;lg;
8.0 megapixels;2.2;http://www.buscape.com.br/detalhes--smartphone-sony-xperia-z-ultra.html;single;1080 x 1920;6.4;z ultra;;xperia;2379.0;2.0 megapixels frontal;sony;16.0
8.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-apple-iphone-6-plus-64gb.html;single;1920 x 1080;5.5;6 plus 64gb;1.0;iphone;3799.0;1.2 megapixels frontal;apple;64.0
3.2 megapixels;;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-mini-gt-s5570.html;single;240 x 320;3.3;gt-s5570;;galaxy mini;;;samsung;
1.3 megapixels;;http://www.buscape.com.br/detalhes--celular-samsung-sgh-f250.html;single;128 x 160;2.0;sgh-f250;;;;;samsung;
16.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-note-4-sm-n910c.html;single;2560 x 1440;5.7;4 sm-n910c;;galaxy note;;3.7 megapixels frontal;samsung;
5.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-motorola-moto-e-2-geracao-dtv-colors-xt1523.html;dual;540 x 960;4.5;2ª geração dtv colors xt1523;;moto e;;vga;motorola;16.0
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-sony-ericsson-f305.html;single;176 x 220;2.0;f305;;;;;sony ericsson;
8.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-apple-iphone-4s-32gb.html;single;960 x 640;3.5;4s 32gb;;iphone;;0.3 megapixels frontal;apple;32.0
5.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-sony-ericsson-live.html;single;320 x 480;3.2;live;;;;1.3 megapixels frontal;sony ericsson;
5.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-lg-optimus-l9-p768.html;single;540 x 960;4.7;l9 p768;;optimus;1135.0;;lg;4.0
2.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-nokia-asha-500.html;dual;320 x 240;2.8;500;;asha;;;nokia;
5.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-motorola-atrix.html;single;540 x 960;4.0;;;atrix;;0.3 megapixels frontal;motorola;16.0
3.2 megapixels;;http://www.buscape.com.br/detalhes--celular-samsung-star-tv-gt-i6220.html;single;240 x 400;3.0;tv gt-i6220;;star;;;samsung;
3.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-lg-optimus-me-p350.html;single;240 x 320;2.8;me p350;;optimus;508.0;;lg;
3.2 megapixels;;http://www.buscape.com.br/detalhes--smartphone-nokia-5800.html;single;360 x 640;3.2;5800;;;;0.3 megapixels frontal;nokia;
5.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-sony-xperia-e3-d2212.html;dual;480 x 854;4.5;e3 d2212;;xperia;;vga;sony;4.0
